Client_ID;Attrition_Flag;Customer_Age;Gender;Dependent_count;Education_Level;Marital_Status;Income_Category;Card_Category;Months_on_book;Total_Relationship_Count;Months_Inactive_12_mon;Contacts_Count_12_mon;Credit_Limit;Total_Revolving_Bal;Avg_Open_To_Buy;Total_Amt_Chng_Q4_Q1;Total_Trans_Amt;Total_Trans_Ct;Total_Ct_Chng_Q4_Q1;Avg_Utilization_Ratio;Is_Active;Years_on_book;Customer_Age_agg;Total_Trans_Amt_agg;Total_Trans_Ct_agg
713982108;Existing Customer;51;M;3;4. Graduate;Married;4. $80K - 120K;1. Blue;36;4;1;0;3418.0;0;3418.0;2.594;1887;20;2.333;0.0;1;(2, 3];(50, 55];(1500, 2000];(10, 20]
769911858;Existing Customer;40;F;4;3. High School;Unknown;1. < $40K;1. Blue;34;3;4;1;3313.0;2517;796.0;1.405;1171;20;2.333;0.76;1;(2, 3];(35, 40];(1000, 1500];(10, 20]
709106358;Existing Customer;40;M;3;1. Uneducated;Married;3. $60K - 80K;1. Blue;21;5;1;0;4716.0;0;4716.0;2.175;816;28;2.5;0.0;1;(1, 2];(35, 40];(500, 1000];(20, 30]
713061558;Existing Customer;44;M;2;4. Graduate;Married;2. $40K - 60K;1. Blue;36;3;1;2;4010.0;1247;2763.0;1.376;1088;24;0.846;0.311;1;(2, 3];(40, 45];(1000, 1500];(20, 30]
710930508;Existing Customer;37;M;3;1. Uneducated;Single;3. $60K - 80K;1. Blue;36;5;2;0;22352.0;2517;19835.0;3.355;1350;24;1.182;0.113;1;(2, 3];(35, 40];(1000, 1500];(20, 30]
710821833;Existing Customer;65;M;1;7. Unknown;Married;2. $40K - 60K;1. Blue;54;6;2;3;9095.0;1587;7508.0;1.433;1314;26;1.364;0.174;1;(4, 5];(55, 75];(1000, 1500];(20, 30]
710599683;Existing Customer;56;M;1;2. College;Single;4. $80K - 120K;1. Blue;36;3;6;0;11751.0;0;11751.0;3.397;1539;17;3.25;0.0;1;(2, 3];(55, 75];(1500, 2000];(10, 20]
712396908;Existing Customer;57;F;2;4. Graduate;Married;1. < $40K;1. Blue;48;5;2;2;2436.0;680;1756.0;1.19;1570;29;0.611;0.279;1;(3, 4];(55, 75];(1500, 2000];(20, 30]
714885258;Existing Customer;44;M;4;7. Unknown;Unknown;4. $80K - 120K;1. Blue;37;5;1;2;4234.0;972;3262.0;1.707;1348;27;1.7;0.23;1;(3, 4];(40, 45];(1000, 1500];(20, 30]
709967358;Existing Customer;48;M;4;5. Post-Graduate;Single;4. $80K - 120K;1. Blue;36;6;2;3;30367.0;2362;28005.0;1.708;1671;27;0.929;0.078;1;(2, 3];(45, 50];(1500, 2000];(20, 30]
753327333;Existing Customer;41;M;3;7. Unknown;Married;4. $80K - 120K;1. Blue;34;4;4;1;13535.0;1291;12244.0;0.653;1028;21;1.625;0.095;1;(2, 3];(40, 45];(1000, 1500];(20, 30]
806160108;Existing Customer;61;M;1;3. High School;Married;2. $40K - 60K;1. Blue;56;2;2;3;3193.0;2517;676.0;1.831;1336;30;1.143;0.788;1;(4, 5];(55, 75];(1000, 1500];(20, 30]
709327383;Existing Customer;45;F;2;4. Graduate;Married;6. Unknown;1. Blue;37;6;1;2;14470.0;1157;13313.0;0.966;1207;21;0.909;0.08;1;(3, 4];(40, 45];(1000, 1500];(20, 30]
806165208;Existing Customer;47;M;1;6. Doctorate;Divorced;3. $60K - 80K;1. Blue;42;5;2;0;20979.0;1800;19179.0;0.906;1178;27;0.929;0.086;1;(3, 4];(45, 50];(1000, 1500];(20, 30]
708508758;Attrited Customer;62;F;0;4. Graduate;Married;1. < $40K;1. Blue;49;2;3;3;1438.3;0;1438.3;1.047;692;16;0.6;0.0;0;(4, 5];(55, 75];(500, 1000];(10, 20]
784725333;Existing Customer;41;M;3;3. High School;Married;2. $40K - 60K;1. Blue;33;4;2;1;4470.0;680;3790.0;1.608;931;18;1.571;0.152;1;(2, 3];(40, 45];(500, 1000];(10, 20]
811604133;Existing Customer;47;F;4;7. Unknown;Single;1. < $40K;1. Blue;36;3;3;2;2492.0;1560;932.0;0.573;1126;23;0.353;0.626;1;(2, 3];(45, 50];(1000, 1500];(20, 30]
789124683;Existing Customer;54;M;2;7. Unknown;Married;4. $80K - 120K;1. Blue;42;4;2;3;12217.0;0;12217.0;1.075;1110;21;0.75;0.0;1;(3, 4];(50, 55];(1000, 1500];(20, 30]
771071958;Existing Customer;41;F;3;4. Graduate;Single;1. < $40K;1. Blue;28;6;1;2;7768.0;1669;6099.0;0.797;1051;22;0.833;0.215;1;(2, 3];(40, 45];(1000, 1500];(20, 30]
720466383;Existing Customer;59;M;1;3. High School;Unknown;2. $40K - 60K;1. Blue;46;4;1;2;14784.0;1374;13410.0;0.921;1197;23;1.3;0.093;1;(3, 4];(55, 75];(1000, 1500];(20, 30]
718813833;Existing Customer;44;F;3;1. Uneducated;Single;6. Unknown;1. Blue;34;5;2;2;10100.0;0;10100.0;0.525;1052;18;1.571;0.0;1;(2, 3];(40, 45];(1000, 1500];(10, 20]
778348233;Existing Customer;53;M;3;7. Unknown;Married;4. $80K - 120K;1. Blue;33;3;2;3;2753.0;1811;942.0;0.977;1038;25;2.571;0.658;1;(2, 3];(50, 55];(1000, 1500];(20, 30]
712991808;Existing Customer;53;M;2;1. Uneducated;Married;3. $60K - 80K;1. Blue;48;2;5;1;2451.0;1690;761.0;1.323;1596;26;1.6;0.69;1;(3, 4];(50, 55];(1500, 2000];(20, 30]
709029408;Existing Customer;41;M;4;4. Graduate;Married;3. $60K - 80K;1. Blue;36;4;1;2;8923.0;2517;6406.0;1.726;1589;24;1.667;0.282;1;(2, 3];(40, 45];(1500, 2000];(20, 30]
788658483;Existing Customer;53;F;2;2. College;Married;1. < $40K;1. Blue;38;5;2;3;2650.0;1490;1160.0;1.75;1411;28;1.0;0.562;1;(3, 4];(50, 55];(1000, 1500];(20, 30]
787937058;Existing Customer;58;M;0;4. Graduate;Married;4. $80K - 120K;1. Blue;49;6;2;2;12555.0;1696;10859.0;0.519;1291;24;0.714;0.135;1;(4, 5];(55, 75];(1000, 1500];(20, 30]
785432733;Existing Customer;42;F;4;3. High School;Married;1. < $40K;3. Gold;36;2;3;3;15433.0;0;15433.0;0.865;966;22;1.2;0.0;1;(2, 3];(40, 45];(500, 1000];(20, 30]
715190283;Existing Customer;57;F;1;4. Graduate;Unknown;2. $40K - 60K;1. Blue;49;3;3;2;3672.0;886;2786.0;1.32;1464;28;0.556;0.241;1;(4, 5];(55, 75];(1000, 1500];(20, 30]
708300483;Attrited Customer;66;F;0;6. Doctorate;Married;6. Unknown;1. Blue;56;5;4;3;7882.0;605;7277.0;1.052;704;16;0.143;0.077;0;(4, 5];(55, 75];(500, 1000];(10, 20]
827111283;Existing Customer;45;M;3;4. Graduate;Single;4. $80K - 120K;1. Blue;41;2;2;2;32426.0;578;31848.0;1.042;1109;28;0.474;0.018;1;(3, 4];(40, 45];(1000, 1500];(20, 30]
758551608;Existing Customer;51;M;2;7. Unknown;Married;2. $40K - 60K;1. Blue;44;4;1;0;6205.0;2204;4001.0;0.803;1347;28;0.556;0.355;1;(3, 4];(50, 55];(1000, 1500];(20, 30]
720572508;Existing Customer;38;F;4;4. Graduate;Single;6. Unknown;1. Blue;28;2;3;3;9830.0;2055;7775.0;0.977;1042;23;0.917;0.209;1;(2, 3];(35, 40];(1000, 1500];(20, 30]
712661433;Existing Customer;49;M;4;1. Uneducated;Single;4. $80K - 120K;1. Blue;30;3;2;3;34516.0;0;34516.0;1.621;1444;28;1.333;0.0;1;(2, 3];(45, 50];(1000, 1500];(20, 30]
789172683;Existing Customer;56;M;2;6. Doctorate;Married;3. $60K - 80K;1. Blue;45;6;2;0;2283.0;1430;853.0;2.316;1741;27;0.588;0.626;1;(3, 4];(55, 75];(1500, 2000];(20, 30]
738406533;Existing Customer;59;M;1;6. Doctorate;Married;2. $40K - 60K;1. Blue;52;3;2;2;2548.0;2020;528.0;2.357;1719;27;1.7;0.793;1;(4, 5];(55, 75];(1500, 2000];(20, 30]
799723908;Existing Customer;46;M;3;3. High School;Married;4. $80K - 120K;1. Blue;40;4;3;3;19458.0;1435;18023.0;0.787;1217;27;0.8;0.074;1;(3, 4];(45, 50];(1000, 1500];(20, 30]
720756708;Existing Customer;52;F;3;7. Unknown;Married;1. < $40K;1. Blue;41;6;3;2;2622.0;1549;1073.0;1.321;1878;30;1.143;0.591;1;(3, 4];(50, 55];(1500, 2000];(20, 30]
779471883;Attrited Customer;54;F;1;4. Graduate;Married;1. < $40K;1. Blue;40;2;3;1;1438.3;808;630.3;0.997;705;19;0.9;0.562;0;(3, 4];(50, 55];(500, 1000];(10, 20]
714374133;Attrited Customer;56;M;2;4. Graduate;Married;5. 120K+;1. Blue;36;1;3;3;15769.0;0;15769.0;1.041;602;15;0.364;0.0;0;(2, 3];(55, 75];(500, 1000];(10, 20]
768563658;Existing Customer;56;M;2;1. Uneducated;Married;2. $40K - 60K;1. Blue;50;4;2;3;4458.0;1880;2578.0;1.107;1424;29;1.417;0.422;1;(4, 5];(55, 75];(1000, 1500];(20, 30]
711427458;Existing Customer;44;F;5;4. Graduate;Married;6. Unknown;1. Blue;35;4;1;2;6273.0;978;5295.0;2.275;1359;25;1.083;0.156;1;(2, 3];(40, 45];(1000, 1500];(20, 30]
714091983;Existing Customer;42;M;2;3. High School;Single;3. $60K - 80K;1. Blue;34;4;4;3;3336.0;1753;1583.0;0.69;1168;27;1.25;0.525;1;(2, 3];(40, 45];(1000, 1500];(20, 30]
712030833;Attrited Customer;48;M;2;4. Graduate;Married;3. $60K - 80K;2. Silver;35;2;4;4;34516.0;0;34516.0;0.763;691;15;0.5;0.0;0;(2, 3];(45, 50];(500, 1000];(10, 20]
711481533;Existing Customer;39;M;1;3. High School;Divorced;3. $60K - 80K;1. Blue;33;5;3;3;5926.0;1251;4675.0;0.944;1316;28;1.154;0.211;1;(2, 3];(35, 40];(1000, 1500];(20, 30]
710082708;Existing Customer;44;M;4;5. Post-Graduate;Single;5. 120K+;1. Blue;32;2;4;2;23957.0;2102;21855.0;0.997;1276;26;0.733;0.088;1;(2, 3];(40, 45];(1000, 1500];(20, 30]
708155733;Existing Customer;53;M;2;3. High School;Single;5. 120K+;1. Blue;44;4;2;2;14734.0;1634;13100.0;0.989;1289;23;0.917;0.111;1;(3, 4];(50, 55];(1000, 1500];(20, 30]
788730933;Existing Customer;44;F;2;1. Uneducated;Single;1. < $40K;1. Blue;20;6;3;3;2084.0;1468;616.0;1.004;1132;28;0.556;0.704;1;(1, 2];(40, 45];(1000, 1500];(20, 30]
711314058;Existing Customer;49;M;2;4. Graduate;Married;3. $60K - 80K;1. Blue;32;2;2;2;1687.0;1107;580.0;1.715;1670;17;2.4;0.656;1;(2, 3];(45, 50];(1500, 2000];(10, 20]
717975333;Existing Customer;50;M;2;6. Doctorate;Married;4. $80K - 120K;1. Blue;38;6;2;2;25300.0;1330;23970.0;1.072;837;15;2.0;0.053;1;(3, 4];(45, 50];(500, 1000];(10, 20]
719580033;Existing Customer;54;M;1;4. Graduate;Unknown;3. $60K - 80K;1. Blue;43;4;2;3;2910.0;2030;880.0;0.769;1256;21;0.4;0.698;1;(3, 4];(50, 55];(1000, 1500];(20, 30]
789973308;Existing Customer;44;M;1;2. College;Single;3. $60K - 80K;1. Blue;35;3;3;3;24312.0;1932;22380.0;1.312;1341;24;1.182;0.079;1;(2, 3];(40, 45];(1000, 1500];(20, 30]
804595158;Existing Customer;44;F;4;4. Graduate;Single;1. < $40K;1. Blue;36;6;4;2;7000.0;2517;4483.0;0.475;1112;23;1.875;0.36;1;(2, 3];(40, 45];(1000, 1500];(20, 30]
