Client_ID;Attrition_Flag;Customer_Age;Gender;Dependent_count;Education_Level;Marital_Status;Income_Category;Card_Category;Months_on_book;Total_Relationship_Count;Months_Inactive_12_mon;Contacts_Count_12_mon;Credit_Limit;Total_Revolving_Bal;Avg_Open_To_Buy;Total_Amt_Chng_Q4_Q1;Total_Trans_Amt;Total_Trans_Ct;Total_Ct_Chng_Q4_Q1;Avg_Utilization_Ratio;Is_Active;Years_on_book;Customer_Age_agg;Total_Trans_Amt_agg;Total_Trans_Ct_agg
768805383;Existing Customer;45;M;3;3. High School;Married;3. $60K - 80K;1. Blue;39;5;1;3;12691.0;777;11914.0;1.335;1144;42;1.625;0.061;1;(3, 4];(40, 45];(1000, 1500];(40, 50]
818770008;Existing Customer;49;F;5;4. Graduate;Single;1. < $40K;1. Blue;44;6;1;2;8256.0;864;7392.0;1.541;1291;33;3.714;0.105;1;(3, 4];(45, 50];(1000, 1500];(30, 40]
810347208;Existing Customer;51;M;4;7. Unknown;Married;5. 120K+;3. Gold;46;6;1;3;34516.0;2264;32252.0;1.975;1330;31;0.722;0.066;1;(3, 4];(50, 55];(1000, 1500];(30, 40]
818906208;Existing Customer;32;M;0;3. High School;Unknown;3. $60K - 80K;2. Silver;27;2;2;2;29081.0;1396;27685.0;2.204;1538;36;0.714;0.048;1;(2, 3];(30, 35];(1500, 2000];(30, 40]
719661558;Existing Customer;48;M;2;4. Graduate;Single;4. $80K - 120K;1. Blue;36;6;3;3;11656.0;1677;9979.0;1.524;1441;32;0.882;0.144;1;(2, 3];(45, 50];(1000, 1500];(30, 40]
708790833;Existing Customer;42;M;5;1. Uneducated;Unknown;5. 120K+;1. Blue;31;5;3;2;6748.0;1467;5281.0;0.831;1201;42;0.68;0.217;1;(2, 3];(40, 45];(1000, 1500];(40, 50]
816082233;Existing Customer;35;M;3;4. Graduate;Unknown;3. $60K - 80K;1. Blue;30;5;1;3;8547.0;1666;6881.0;1.163;1311;33;2.0;0.195;1;(2, 3];(30, 35];(1000, 1500];(30, 40]
804424383;Existing Customer;63;M;1;7. Unknown;Married;3. $60K - 80K;1. Blue;56;3;3;2;10215.0;1010;9205.0;0.843;1904;40;1.0;0.099;1;(4, 5];(55, 75];(1500, 2000];(30, 40]
806624208;Existing Customer;47;M;4;3. High School;Married;2. $40K - 60K;1. Blue;42;6;0;0;4785.0;1362;3423.0;0.739;1045;38;0.9;0.285;1;(3, 4];(45, 50];(1000, 1500];(30, 40]
715318008;Existing Customer;55;F;1;2. College;Single;1. < $40K;1. Blue;36;4;2;1;3520.0;1914;1606.0;0.51;1407;43;0.483;0.544;1;(2, 3];(50, 55];(1000, 1500];(40, 50]
713962233;Existing Customer;55;F;3;4. Graduate;Married;1. < $40K;1. Blue;36;6;2;3;3035.0;2298;737.0;1.724;1877;37;1.176;0.757;1;(2, 3];(50, 55];(1500, 2000];(30, 40]
773146383;Existing Customer;50;F;1;2. College;Single;2. $40K - 60K;2. Silver;43;3;2;3;17304.0;2517;14787.0;1.449;1756;33;1.2;0.145;1;(3, 4];(45, 50];(1500, 2000];(30, 40]
778493808;Existing Customer;49;M;3;3. High School;Married;3. $60K - 80K;1. Blue;37;5;2;1;3906.0;0;3906.0;1.214;1756;32;1.0;0.0;1;(3, 4];(45, 50];(1500, 2000];(30, 40]
771490833;Existing Customer;52;M;1;2. College;Single;4. $80K - 120K;1. Blue;40;5;1;1;4745.0;1227;3518.0;0.624;1140;40;0.6;0.259;1;(3, 4];(50, 55];(1000, 1500];(30, 40]
711525033;Existing Customer;66;F;0;3. High School;Married;1. < $40K;1. Blue;54;3;4;2;3171.0;2179;992.0;1.224;1946;38;1.923;0.687;1;(4, 5];(55, 75];(1500, 2000];(30, 40]
712813458;Existing Customer;49;M;2;7. Unknown;Married;5. 120K+;1. Blue;36;4;2;0;19763.0;2517;17246.0;0.664;1414;35;0.25;0.127;1;(2, 3];(45, 50];(1000, 1500];(30, 40]
717891558;Existing Customer;49;F;4;4. Graduate;Unknown;1. < $40K;1. Blue;36;6;4;2;3298.0;2200;1098.0;0.678;1052;32;0.6;0.667;1;(2, 3];(45, 50];(1000, 1500];(30, 40]
716632758;Existing Customer;49;F;3;4. Graduate;Single;1. < $40K;1. Blue;36;2;2;0;2802.0;2363;439.0;0.75;1295;40;0.6;0.843;1;(2, 3];(45, 50];(1000, 1500];(30, 40]
787584108;Existing Customer;55;M;3;7. Unknown;Married;4. $80K - 120K;1. Blue;47;4;2;3;3436.0;2016;1420.0;0.901;1097;33;0.833;0.587;1;(3, 4];(50, 55];(1000, 1500];(30, 40]
788979258;Existing Customer;51;M;4;1. Uneducated;Single;4. $80K - 120K;2. Silver;38;4;1;4;34516.0;1515;33001.0;0.592;1293;32;0.6;0.044;1;(3, 4];(50, 55];(1000, 1500];(30, 40]
807986133;Existing Customer;57;M;2;2. College;Married;3. $60K - 80K;1. Blue;52;5;3;3;6584.0;1817;4767.0;0.62;1353;35;0.667;0.276;1;(4, 5];(55, 75];(1000, 1500];(30, 40]
715971108;Existing Customer;51;M;4;4. Graduate;Single;5. 120K+;1. Blue;42;3;2;3;34516.0;1763;32753.0;1.266;1550;41;1.05;0.051;1;(3, 4];(50, 55];(1500, 2000];(40, 50]
720096558;Existing Customer;55;F;2;4. Graduate;Married;1. < $40K;1. Blue;42;5;3;3;2216.0;1034;1182.0;0.758;1540;36;0.286;0.467;1;(3, 4];(50, 55];(1500, 2000];(30, 40]
820582308;Existing Customer;42;M;5;1. Uneducated;Married;4. $80K - 120K;1. Blue;37;6;2;2;22913.0;1528;21385.0;0.414;1394;35;0.522;0.067;1;(3, 4];(40, 45];(1000, 1500];(30, 40]
712876233;Existing Customer;53;M;2;4. Graduate;Single;4. $80K - 120K;1. Blue;36;5;3;2;5272.0;1515;3757.0;0.857;1289;33;0.435;0.287;1;(2, 3];(50, 55];(1000, 1500];(30, 40]
714826758;Existing Customer;37;F;3;1. Uneducated;Single;1. < $40K;1. Blue;29;4;4;2;7038.0;1801;5237.0;0.751;2339;57;0.966;0.256;1;(2, 3];(35, 40];(2000, 2500];(50, 60]
710790258;Existing Customer;47;M;2;4. Graduate;Married;4. $80K - 120K;1. Blue;38;6;3;2;28904.0;1899;27005.0;0.85;1334;35;0.4;0.066;1;(3, 4];(45, 50];(1000, 1500];(30, 40]
715623483;Existing Customer;47;M;3;4. Graduate;Married;3. $60K - 80K;1. Blue;37;4;4;0;8567.0;1695;6872.0;1.242;1457;41;1.412;0.198;1;(3, 4];(45, 50];(1000, 1500];(40, 50]
716396358;Existing Customer;52;M;2;4. Graduate;Married;3. $60K - 80K;1. Blue;47;5;3;0;3085.0;1910;1175.0;0.921;1531;35;0.667;0.619;1;(3, 4];(50, 55];(1500, 2000];(30, 40]
715398033;Existing Customer;53;M;2;3. High School;Single;5. 120K+;1. Blue;35;4;2;1;19040.0;2056;16984.0;0.607;1212;31;0.722;0.108;1;(2, 3];(50, 55];(1000, 1500];(30, 40]
711743883;Existing Customer;43;F;3;1. Uneducated;Single;1. < $40K;1. Blue;35;5;2;3;4026.0;0;4026.0;0.483;1237;32;0.6;0.0;1;(2, 3];(40, 45];(1000, 1500];(30, 40]
714070758;Existing Customer;49;M;4;3. High School;Single;4. $80K - 120K;1. Blue;38;4;3;0;31302.0;1953;29349.0;0.875;1564;35;2.182;0.062;1;(3, 4];(45, 50];(1500, 2000];(30, 40]
714107958;Existing Customer;45;M;1;4. Graduate;Single;2. $40K - 60K;1. Blue;36;4;4;3;6576.0;0;6576.0;0.579;1465;34;0.619;0.0;1;(2, 3];(40, 45];(1000, 1500];(30, 40]
